Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/28/2025,06/29/2025,GOOGLE *Google One,Shopping,Sale,-19.99,
06/26/2025,06/27/2025,NETFLIX.COM,Bills & Utilities,Sale,-7.99,
06/24/2025,06/24/2025,Spotify USA,Bills & Utilities,Sale,-19.99,
06/22/2025,06/23/2025,GITHUB  INC.,Professional Services,Sale,-14.00,
06/21/2025,06/23/2025,MARINA CLEANERS,Personal,Sale,-36.00,
06/22/2025,06/23/2025,GITHUB,Professional Services,Sale,-5.00,
06/20/2025,06/22/2025,FLICKR PRO MONTHLY,Personal,Sale,-10.44,
06/17/2025,06/18/2025,GOOGLE *FI 4D39MR,Bills & Utilities,Sale,-156.81,
06/16/2025,06/17/2025,ST. PAULS SCHOOL,Gifts & Donations,Sale,-20.00,
06/16/2025,06/17/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20.00,
06/14/2025,06/16/2025,MARINA CLEANERS,Personal,Sale,-36.00,
06/13/2025,06/15/2025,SYR UNIV ONLINE GIFTS,Education,Sale,-25.00,
06/12/2025,06/13/2025,BUCKINGHAM BROWNE &amp;,Gifts & Donations,Sale,-25.00,
06/09/2025,06/11/2025,SILVERSCRIPT INS CO,Health & Wellness,Sale,-56.50,
06/10/2025,06/11/2025,GOOGLE *iZYREC,Shopping,Sale,-239.99,
06/08/2025,06/10/2025,MARINA CLEANERS,Personal,Sale,-32.00,
06/09/2025,06/10/2025,SF CHRONICLE SUBSCRIPT,Bills & Utilities,Sale,-13.96,
06/04/2025,06/04/2025,AUTOMATIC PAYMENT - THANK,,Payment,2632.33,
06/03/2025,06/03/2025,PUBLIC STORAGE 08482,Home,Sale,-553.00,
06/03/2025,06/03/2025,PUBLIC STORAGE 08482,Home,Sale,-1051.00,
06/01/2025,06/03/2025,MARINA CLEANERS,Personal,Sale,-44.00,
06/01/2025,06/02/2025,SHOEBOXED.COM,Shopping,Sale,-69.00,
06/01/2025,06/02/2025,PAYPAL *WIKIPEDIA,Gifts & Donations,Sale,-5.00,
05/31/2025,06/01/2025,BLUE SHIELD CALIFORNIA,Bills & Utilities,Sale,-293.00,
05/31/2025,06/01/2025,NYTIMES*,Bills & Utilities,Sale,-33.00,
05/31/2025,06/01/2025,PAYPAL *INTERNETARC,Gifts & Donations,Sale,-50.00,
05/26/2025,05/28/2025,MARINA CLEANERS,Personal,Sale,-60.00,
05/26/2025,05/26/2025,NETFLIX.COM,Bills & Utilities,Sale,-7.99,
05/24/2025,05/25/2025,Spotify USA,Bills & Utilities,Sale,-19.99,
05/22/2025,05/23/2025,GITHUB,Professional Services,Sale,-5.00,
05/22/2025,05/23/2025,GITHUB  INC.,Professional Services,Sale,-14.00,
05/20/2025,05/21/2025,FLICKR PRO MONTHLY,Personal,Sale,-10.44,
05/17/2025,05/19/2025,MARINA CLEANERS,Personal,Sale,-44.00,
05/16/2025,05/18/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20.00,
05/16/2025,05/18/2025,GOOGLE *Snapwood Apps,Shopping,Sale,-3.99,
05/18/2025,05/18/2025,GOOGLE *FI Txz23v,Bills & Utilities,Sale,-156.81,
05/15/2025,05/16/2025,ST. PAULS SCHOOL,Gifts & Donations,Sale,-20.00,
05/13/2025,05/14/2025,SYR UNIV ONLINE GIFTS,Education,Sale,-25.00,
05/12/2025,05/13/2025,BUCKINGHAM BROWNE &amp;,Gifts & Donations,Sale,-25.00,
05/12/2025,05/13/2025,SF CHRONICLE SUBSCRIPT,Bills & Utilities,Sale,-13.96,
05/10/2025,05/12/2025,MARINA CLEANERS,Personal,Sale,-36.00,
05/09/2025,05/11/2025,SILVERSCRIPT INS CO,Health & Wellness,Sale,-56.50,
05/03/2025,05/05/2025,MARINA CLEANERS,Personal,Sale,-32.00,
05/04/2025,05/04/2025,AUTOMATIC PAYMENT - THANK,,Payment,3422.94,
